No.,保有期間,通貨ペア,開始時刻,方向,短期勝率,短期平均pips,中期勝率,中期平均pips,長期勝率,長期平均pips,短期勝率_ランク,中期勝率_ランク,長期勝率_ランク,勝率スコア
1,5,USDJPY,08:53:00,HIGH,70.0,2.6,63.33,2.0,54.25,0.8,5.0,10.0,8.0,23.0
2,5,USDJPY,08:58:00,LOW,70.0,2.2,62.22,2.0,51.96,0.4,5.0,12.0,10.0,27.0
3,5,USDJPY,09:07:00,HIGH,76.67,2.5,65.56,1.4,50.98,0.3,1.0,9.0,12.0,22.0
4,11,USDJPY,11:49:00,HIGH,73.33,1.1,72.22,2.1,60.13,1.5,4.0,1.0,1.0,6.0
5,10,EURJPY,11:50:00,HIGH,70.0,2.1,70.0,2.0,58.33,1.3,5.0,4.0,3.0,12.0
6,9,EURJPY,11:51:00,HIGH,70.0,1.9,68.89,2.2,57.35,1.2,5.0,5.0,5.0,15.0
7,8,EURJPY,11:52:00,HIGH,76.67,2.1,66.67,2.3,58.82,1.1,1.0,7.0,2.0,10.0
8,5,EURJPY,11:53:00,HIGH,76.67,2.0,67.78,1.8,51.14,0.4,1.0,6.0,11.0,18.0
9,5,EURJPY,11:54:00,HIGH,70.0,1.4,63.33,1.1,55.07,0.5,5.0,10.0,6.0,21.0
10,9,USDJPY,16:51:00,HIGH,70.0,1.9,71.11,3.1,57.47,1.0,5.0,2.0,4.0,11.0
11,1,USDJPY,16:55:00,HIGH,70.0,1.0,66.67,1.3,53.2,0.5,5.0,7.0,9.0,21.0
12,5,USDJPY,18:54:00,HIGH,70.0,1.2,71.11,2.0,55.01,0.7,5.0,2.0,7.0,14.0
