No.,ソース,通貨ペア,エントリー時刻,エグジット時刻,方向,エントリー価格,エグジット価格,Pips差,エントリーBID,エントリーASK,エグジットBID,エグジットASK,エントリースプレッド,エグジットスプレッド,取得時刻,スコア
1,entrypoints①,USDJPY,08:48:00,08:59:00,Long,144.132,143.968,-16.4,143.968,144.132,143.968,144.132,0,0,2025-05-31T11:58:33.085333,7.19
2,entrypoints②,USDJPY,08:59:00,09:13:00,Short,143.968,144.132,-16.4,143.968,144.132,143.968,144.132,0,0,2025-05-31T11:58:34.511889,7.64
3,entrypoints③,EURJPY,09:34:00,09:48:00,Short,163.338,163.59,-25.2,163.338,163.59,163.338,163.59,0,0,2025-05-31T11:58:35.985251,7.06
4,最大利益 日中版①,EURJPY,10:00:00,10:13:00,Short,163.338,163.59,-25.2,163.338,163.59,163.338,163.59,0,0,2025-05-31T12:00:12.322903,
5,時間効率重視 日中版①,USDJPY,10:03:00,10:12:00,Short,143.968,144.132,-16.4,143.968,144.132,143.968,144.132,0,0,2025-05-31T11:59:43.492006,
6,勝率重視（ぶりんださん検証） 日中版①,AUDUSD,10:05:00,10:19:00,Long,0.64384,0.64262,-12.2,0.64262,0.64384,0.64262,0.64384,0,0,2025-05-31T11:59:14.464646,
7,利益効率（Hatch検証）日中版①,USDJPY,10:49:00,11:03:00,Short,143.968,144.132,-16.4,143.968,144.132,143.968,144.132,0,0,2025-05-31T11:58:46.088859,
8,利益効率（Hatch検証）①,USDJPY,10:49:00,11:03:00,Short,143.968,144.132,-16.4,143.968,144.132,143.968,144.132,0,0,2025-05-31T11:59:00.324460,
9,勝率重視（ぶりんださん検証） 日中版②,USDJPY,10:49:00,10:56:00,Short,143.968,144.132,-16.4,143.968,144.132,143.968,144.132,0,0,2025-05-31T11:59:15.892536,
10,最大利益 日中版②,USDJPY,10:49:00,11:03:00,Short,143.968,144.132,-16.4,143.968,144.132,143.968,144.132,0,0,2025-05-31T12:00:13.732791,
11,最大利益 終日版①,USDJPY,10:49:00,11:03:00,Short,143.968,144.132,-16.4,143.968,144.132,143.968,144.132,0,0,2025-05-31T12:00:26.741539,
12,勝率重視（ぶりんださん検証） 日中版③,EURUSD,10:59:00,11:10:00,Long,1.13497,1.13448,-4.9,1.13448,1.13497,1.13448,1.13497,0,0,2025-05-31T11:59:17.303442,
13,勝率重視（ぶりんださん検証）①,EURUSD,10:59:00,11:10:00,Long,1.13497,1.13448,-4.9,1.13448,1.13497,1.13448,1.13497,0,0,2025-05-31T11:59:29.142140,
14,時間効率重視 日中版②,USDJPY,11:00:00,11:03:00,Short,143.968,144.132,-16.4,143.968,144.132,143.968,144.132,0,0,2025-05-31T11:59:44.936004,
15,時間効率重視 終日版①,USDJPY,11:00:00,11:03:00,Short,143.968,144.132,-16.4,143.968,144.132,143.968,144.132,0,0,2025-05-31T11:59:58.012672,
16,利益効率（Hatch検証）日中版②,USDJPY,11:43:00,11:54:00,Long,144.132,143.968,-16.4,143.968,144.132,143.968,144.132,0,0,2025-05-31T11:58:47.489263,
17,entrypoints④,USDJPY,11:44:00,11:59:00,Long,144.132,143.968,-16.4,143.968,144.132,143.968,144.132,0,0,2025-05-31T11:58:37.474406,6.83
